site_id,location,size_sqft,traffic_score,monthly_rate_inr,latitude,longitude,zone
HRD-100,Kandivali Flyover WEB,1200,6.4,180000,19.2075,72.8515,Kandivali
HRD-101,Andheri Metro Facing,1200,7.1,120000,19.1197,72.8464,Andheri
HRD-102,SV Road Junction Borivali,600,7.4,180000,19.2307,72.8567,Borivali
HRD-103,WEH Goregaon North,400,8.0,250000,19.1663,72.8526,Goregaon
HRD-104,Link Road Malad,400,9.4,250000,19.1860,72.8362,Malad
HRD-105,Dahisar Toll Naka,400,8.1,120000,19.2570,72.8643,Dahisar
HRD-106,Thane Ghodbunder Rd,800,8.3,400000,19.2639,72.9698,Thane
HRD-107,BKC Approach,400,9.8,250000,19.0657,72.8687,BKC
HRD-108,Sion Circle,800,8.2,120000,19.0390,72.8619,Sion
HRD-109,Powai Hiranandani,1200,9.8,400000,19.1197,72.9051,Powai
HRD-110,Kandivali Flyover WEB #2,1200,6.2,120000,19.2090,72.8530,Kandivali
HRD-111,Andheri Metro Facing #2,400,7.1,180000,19.1210,72.8480,Andheri
HRD-112,SV Road Junction Borivali #2,600,9.2,180000,19.2320,72.8580,Borivali
HRD-113,WEH Goregaon North #2,400,7.3,120000,19.1680,72.8540,Goregaon
HRD-114,Link Road Malad #2,400,7.4,120000,19.1880,72.8380,Malad
HRD-115,Dahisar Toll Naka #2,800,5.9,250000,19.2590,72.8660,Dahisar
HRD-116,Thane Ghodbunder Rd #2,600,8.3,120000,19.2650,72.9710,Thane
HRD-117,BKC Approach #2,800,9.1,250000,19.0670,72.8700,BKC
HRD-118,Sion Circle #2,600,9.4,250000,19.0410,72.8630,Sion
HRD-119,Powai Hiranandani #2,400,9.5,400000,19.1210,72.9070,Powai
HRD-120,Kandivali Flyover WEB #3,1200,9.1,120000,19.2110,72.8550,Kandivali
HRD-121,Andheri Metro Facing #3,400,6.3,180000,19.1230,72.8500,Andheri
HRD-122,SV Road Junction Borivali #3,800,5.9,400000,19.2340,72.8600,Borivali
HRD-123,WEH Goregaon North #3,400,6.7,180000,19.1700,72.8560,Goregaon
HRD-124,Link Road Malad #3,1200,6.2,120000,19.1900,72.8400,Malad
